question,ragScore,baseScore
"How can an investor minimize risk and potential losses with small cap stocks?
",1,1
"Who prepares the stock reports provided by research departments at brokerage firms?
",4,2
"What is the full title of the ""Leading Economic Indicators"" statistic?
",1,1
"What is the typical P/E range for electric utility industry stocks?
",1,1
"What is the risk associated with motif investing?
",5,3
"How is a company's profit usually reported in the financial media?
",5,1
"What happened to many dot-com companies during the initial wave of the internet in the late 1990s?
",2,2
"What kind of industries are referred to as cyclical industries?
",3,5
"What is an example of a company that can be invested in if you believe soybeans will do well in the future?
",5,5
"What kind of performance can be expected from a healthcare sector ETF in different economic conditions?
",5,4
"How does a new tax, law, or regulation affect a stock?
",5,2
"Why is the federal government considering intervening in GCU's operations?
",1,3
"What is the relationship between politics and stock investing?
",3,3
"What can cause a company's facilities to become worthless and lead to huge losses?
",2,1
"What is the unit value of Bitcoin (BTC) during its peak in late 2017 to early 2018?
",1,1
"What is the role of politics in stock investing decisions?
",3,4
"What happens to company profits when interest rates go down?
",5,5
"What is the broadest measure of economic activity?
",5,5
"How many years does the annual report usually summarize in terms of past financial figures?
",1,1
"What are the governmental entities responsible for managing the supply of currency in the economy?
",5,5
"What is the significance of population growth and new markets for defensive stocks?
",2,4
"What is a leading robotics ETF?
",5,1
"What is a stock screening tool?
",3,3
"What type of IPO tends to be less risky?
",5,1
"What is the definition of the price to sales ratio (PSR)?
",1,2
"What is one investment strategy discussed in the context?
",1,1
"Where can investors find the company's strategic plan for the coming year in an annual report?
",1,1
"What percentage of a stock portfolio should ideally be in financially sound companies?
",1,5
"What is a recommended way to participate in the growth of cryptocurrencies with less exposure to their risks and volatility?
",1,3
"Which newspapers regularly publish a year-in-review issue in the first business week of January?
",1,1
"Will society continue to want the products and services provided by the sector in the long term?
",1,2
"How much in derivatives are major money center banks carrying according to the Bank for International Settlements?
",3,1
"What are two types of companies to consider investing in within an industry?
",5,1
"What is a recommended book to help understand financial reports?
",5,1
"What is included in the stock data section of a company's report?
",1,1
"What is the difference between a sector and an industry in the context of investing?
",2,5
"What are industries that continue to do well regardless of the economy called?
",1,2
"What happens to a chair-building company's profits when production costs rise and price controls are in effect?
",4,3
"What is the website address for the Federal Reserve?
",1,5
"What is a good-til-canceled (GTC) order in stock trading?
",1,4
"Do many brokers charge fees for Good 'til Cancelled (GTC) orders?
",4,3
"How is the average cost per share calculated in a Dollar Cost Averaging (DCA) strategy?
",1,2
"What is a brokerage order technique that can help investors minimize losses?
",2,5
"How can investors buy stocks in small quantities through organizations?
",1,1
"How can I interpret insider selling patterns to predict potential negative developments at a company?
",1,3
"What is the preference for a trailing stop setting according to William O'Neill?
",1,1
"What is the purpose of using a street name for holding stocks in a brokerage account?
",1,3
"What is a good ETF option for investors looking for exposure to Africa's growth prospects?
",1,1
"Which country was once considered a communist country but is now seen as more investor-friendly?
",5,1
"How can someone invest in international stocks conveniently?
",5,1
"What is a safe price-to-earnings (P/E) ratio range for stable, dividend-paying stocks?
",1,1
"What is a key fundamental that investors should focus on when searching for stocks?
",2,5
"What type of ETFs primarily invest in the bonds of a specific country or region?
",1,1
"What can insider buying indicate about a company's stock?
",1,3
"What is the difference between developed and emerging Europe in terms of investment?
",2,3
"What is a country-specific ETF that offers the most singular exposure to South Korea?
",5,5
"How is the popularity of an ETF measured in the ETF Database screener?
",1,2
"What can be the significance of insider selling?
",1,3
"What was the purpose of the uptick rule in the stock market?
",5,3
"What is the purpose of Direct Purchase Programs (DPPs) offered by companies?
",2,2
"How does a stop-loss order protect an investor's stock investment in a volatile market?
",1,1
"How does a limit order work when buying a stock?
",1,2
"Can I use the stock from my DRP to pay off debt?
",2,3
"How can novice ETF investors ensure greater liquidity when selecting an ETF?
",5,1
"What is a requirement to start participating in a Dividend Reinvestment Plan (DRP)?
",1,1
"How many shares did the CEO buy in the example given in the context?
",1,1
"How can the actions of company insiders provide clues into the near-term prospects for their company?
",5,2
"What is the purpose of Form 3 in SEC filings?
",1,3
"What happens when two orders are entered simultaneously with the condition that if one order is executed, the second order is automatically canceled?
",4,5
"What is the difference between investing and speculating in terms of the types of markets they are associated with?
",1,2
"How does a trailing stop-loss order work in the stock market?
",1,2
"What is a short squeeze in stock market?
",5,2
"What is a global ETF and what are some widely traded examples?
",1,1
"How much money do brokers typically require in an account before approving an investor for margin?
",1,3
"What is a trailing stop in stock investing?

",2,2
"Which major mutual fund companies have a global mutual fund?
",1,3
"What are the different types of ETFs based on structure?
",5,1
"What is the benefit of OCPs in DRPs?
",5,2
"What is beta in stock market terminology?
",3,5
"Which countries in Eastern Europe are considered developed and emerging as of 2020?
",4,1
"What are some advantages of using margin loans from brokerage accounts?
",1,4
"How much profit do you make if you buy back 100 shares at $40 each in a short sale?
",2,4
"How can using margin lead to increased losses in the stock market?
",2,1
"How can long-term stock investors buy stocks without using a broker?
",5,3
"What happens to a day order if the stock price does not reach the specified price by the end of the trading day?
",3,4
"How does a company's earnings per share (EPS) change due to a stock buyback?
",2,3
"How does a stop-loss order work in the stock market?
",1,1
"What is a good ETF for investing in the entire continent of Europe?
",5,1
"What is the effect of stock volatility on a limit order?
",2,3
"What type of criteria can be entered in the ETF screener of Yahoo! Finance?
",1,5
"How does choosing a market cap in a stock screener help in refining a stock search?

",1,1
"Why might company insiders sell their stock to diversify their holdings?
",2,1
"How does dollar cost averaging help investors?
",1,3
"Which type of ETF is generally considered a safer investing vehicle?
",5,1
"How does using margin in stock trading affect the return on investment?
",3,3
"What is the significance of a stock's RSI (Relative Strength Index) being under 30 in technical analysis?
",5,2
"How does buying on margin using leverage maximize gains in a favorable market?
",1,3
"How to approach stock selection and what to avoid?
",1,1
"What is the Federal Reserve Board's regulation regarding margin requirements for brokers?
",3,2
"What is the minimum debt to equity ratio required when purchasing stock on margin?
",1,1
"What is a good maximum value for the price-to-sales (PSR) ratio in a stock screener?
",5,5
"How can an investor measure the volatility of a stock's price?
",3,3
"What is required for an investor to be able to short a stock?
",5,1
"How much did FNMA's stock price drop between 2007 and 2008?
",1,5
"How do insiders report their stock trading activities?
",1,3
"How can a company increase its earnings per share without earning extra money?
",5,2
"How can a company protect itself from an unwanted takeover?
",2,1
"How does dollar cost averaging (DCA) help small investors purchase stocks at a lower average price per share?
",1,1
"How does a higher P/E ratio in an ETF affect its risk level?
",2,2
"What is one way to find stocks to go short on using the Yahoo! Finance screener?
",1,5
"What is the URL for Franklin Templeton's emerging markets blog?
",1,2
"What are ADRs and how can they be used for international investing?
",2,3
"Who was one of the first global investors to buy stocks of Japanese companies after World War II?
",1,1
"Does Yumpin Yimminy Corp. have a Dividend Reinvestment Plan (DRP) or Direct Purchase Plan (DPP)?
",2,2
"How is the profit margin calculated in the Yahoo! Finance tool?
",3,3
"What is a good maximum RSI value to use when doing a search with the RSI as one of the criteria?
",5,2
"How is the processing of a dividend reinvestment plan (DRP) typically handled?
",1,2
"How does a bank that issues an ADR handle currency conversion for American investors?
",4,3
"What is a conditional order in the context of stock trading?
",3,4
"How much money is needed to start investing in some DRPs?
",1,1
"What is a market order when buying stocks?
",4,4
"Why might someone use a day order to test a price?
",5,3
"What major law was passed in 2002 to protect investors from fraudulent accounting activities by corporations?
",1,3
"How does the number of shares in a DRP account increase over time with dividend reinvestment?
",1,5
"How does a broker obtain the shares to be shorted in a short sale?
",1,3
"What is dollar cost averaging (DCA) and how does it perform in different market conditions?
",1,1
"What can the stock buyback announcement by a company indicate?
",3,3
"What is the difference between developed markets and emerging markets in international investing?
",2,3
"How has technology made it easier to participate in DRPs?
",1,3
"What is the most convenient way for investors in the US to purchase international stocks?
",5,1
"How can you save stock screeners for future use in Yahoo! Finance?
",5,2
"What is the purpose of the short-swing profit rule enacted by the SEC?
",2,2
"What can be a possible indication of a company's negative prospects?
",1,1
"How can investors make profit when stock prices fall?
",5,5
"What is the uptick rule in the context of short selling?
",4,3
"What are some subcategories touched on for finding stocks with specific filters?
",4,1
"What is an example of an advanced order in stock trading?
",5,1
"How often do DRPs make stock purchases?
",1,1
"What is Motif Investing?
",3,2
"How can people stay informed about potential insider trading by government officials in the digital age?
",1,1
"What are consumer staples ETFs and why should they be included in a portfolio?
",5,2
"How are long-term capital gains taxed compared to short-term gains in the 28 percent tax bracket?
",5,2
"What happens when a currency is overproduced by a nation's central bank?
",4,3
"Who is the senior acquisitions editor for this publication?
",5,1
"What is the risk of trillion-dollar pension shortfalls in the stock market?
",1,1
"What are the dates when dividends are typically declared and paid?
",2,3
"How can investors identify good stocks during a bear market?
",1,2
"What is the most important financial element of a successful company?
",5,1
"Who is responsible for regulating the financial industry in the United States?
",1,1
"What is the website for The Bull & Bear, a fee-based subscription service for stock market news?
",2,1
"What is one website where I can find information about earnings estimates?
",5,1
"What is the title of a book that provides detailed financial reports on all major companies listed on the New York Stock Exchange and Nasdaq?
",1,1
"What is the estimated shortfall in pension funds?
",2,1
"Where can I find information about insider trading from the Securities and Exchange Commission?
",5,3
"What are the two main areas of focus for evaluating the financial health of a company through financial ratios?
",1,5
"What is equity defined as in the context?
",2,3
"What types of fees related to investments are tax deductible?
",5,1
"What is the purpose of using a put option in stock market?
",3,3
"How does the dividend yield change if a stock's price decreases while the dividend remains constant?
",4,3
"What are some risks associated with motif investing?
",1,1
"What is the price-to-sales ratio (PSR) and how is it calculated?
",1,1
"What is the IRS rule that prevents investors from selling losing stock and immediately buying it back to claim a short-term loss?
",5,5
"What is the tax rate for qualified dividends?
",1,1
"What does a rising total sales number indicate for a company?
",1,3
"How are income and net income calculated according to the book?
",1,1
"What is the purpose of IRS Publication 550 in relation to investment expenses?
",3,3
"What is the purpose of a reverse stock split?

",3,3
"How can long-term dividend growth indicate a stock's potential increase in price?
",5,5
"What is a megatrend and how does it affect stock prices?
",3,2
"What is the role of the Securities Investor Protection Corporation (SIPC)?
",1,2
"How much capital loss can be reported in a single year for tax deduction?
",5,1
"What is a conservative P/E ratio range for investing?
",5,2
"How does a company's use of debt to buy back stock affect its earnings?
",3,2
"What are consumer staples ETFs?
",5,1
"Who is the project manager that the author worked with for the sixth edition of the book?
",5,5
"How do interest rates affect stock prices?
",1,3
"What percentage of adjusted gross income must be exceeded before travel costs for checking investments can be deducted as miscellaneous expenses?
",1,5
"What is the formula for calculating the quick ratio?
",2,2
"What is inflation risk according to the context?
",2,3
"How is return on equity (ROE) calculated?
",1,1
"What are some stock investing websites recommended by 333MarketWatch?
",1,1
"What is one source for accessing annual reports online?
",5,5
"How can buying a call option be a profitable strategy during a bear market?
",2,3
"What are the two ways that profit from stock investments can be taxed?
",1,1
"What is the purpose of using common size ratios in analyzing a company's financial data?
",1,3
"What are some examples of liabilities that can affect a company's financial health?
",1,3
"What is the general discussion of the price-to-earnings (P/E) ratio?
",1,1
"What is motif investing and how does it work?
",5,2
"What is the purpose of having cash in a stock brokerage account?
",2,3
"What is considered a bargain in stock value according to the context?
",1,1
"What is the URL of the Best of the Web (BOTW) blog directory page that lists many excellent investing blogs?
",1,1
"What potential issue could cause damage to stock investments?
",1,3
"What is the leading organization for fee-based financial planners?
",5,5
"What is the purpose of dividend reinvestment plans (DRPs)?
",2,1
"What is the tax rate for long-term capital gains if an investor is in the 28% tax bracket or higher?
",2,1
"What is the current status of the US federal government's national debt?
",1,2
"What is a common way to minimize investment risk?
",3,5
"What types of stocks can a mutual fund invest in, according to the context?
",5,2
"What ideology has caused the most economic crises in history?
",1,1
"What is the classic investing book that is relevant in today's volatile stock market?
",1,5
"What is the website of the American Institute for Economic Research (AIER), an organization that helps understand the relationship between economics and politics?
",1,5
"What does a low Price-to-Earnings (P/E) ratio generally indicate from a financial strength point of view?
",2,1
"What is one source for obtaining financial information about stocks?
",1,1
"What is the purpose of monitoring accounts receivable during economic downturns?
",5,4
"How can a company benefit from rising total sales?
",3,3
"How many years has Paul Mladjenovic been a Certified Financial Planner?
",1,1
"How much interest does NEI pay for borrowing $20 million to buy back shares?
",1,1
"How is the current ratio calculated to assess a company's liquidity?
",5,3
"When was the STOCK Act passed and what was its initial purpose?
",4,1
"What type of stocks perform well during an economic recession and a bearish stock market?
",5,1
"What kind of stocks perform well when the economy is growing?
",1,1
"How are dividends taxed as per the IRS?
",1,2
"What is the definition of bear markets according to the context?
",3,3
"What is one disadvantage of technical analysis?
",3,3
"What is the interest rate of I bonds tied to?
",4,4
"How many appendices are there in the given context?
",1,1
"How do good and bad stocks perform after a terrorist event?
",5,2
"How many screening tools are mentioned in the context?
",2,5
"What is one example of a megatrend that can indicate growth investing opportunities?
",1,5
"Who can I contact to find a financial planner specializing in investing?
",5,1
"What is a negative reason for a company to conduct a reverse stock split?
",4,1
"Why is it beneficial for companies to have a low political profile?
",3,1
"What is a self-directed IRA and how can stock investors benefit from it?
",5,1
"What is a safer time to use margin in stock trading?
",5,2
"What is the price-to-earnings (P/E) ratio used for in relation to potential stock investment?
",2,1
"What is the purpose of EDGAR, the system maintained by the Securities and Exchange Commission (SEC)?
",1,3
"What are the two types of IRAs?
",5,1
"What is one of the best general investing websites according to the text?
",5,1
"What does a bear market reveal about a company's debt management?
",1,3
"What is the ""uptick rule"" related to in the context of finance?
",5,3
"What is a stop-loss order in stock investing?
",5,1
"What is the website for Charles Schwab & Co.?
",1,1
"What is the short-swing profit rule in the context of short selling?
",1,2
"Who does the author of the For Dummies series express gratitude towards in the end?
",1,2
"How should taxes be considered in stock transactions?
",5,3
"What is a value-oriented approach in growth investing?
",1,2
"What is the website for ETF Database?
",1,1
"What is the difference between industries and sectors in stock investing?
",5,5
"What are the two reasons for corporate stock buybacks?
",2,3
"How is the sales-to-receivables ratio calculated?
",1,1
"What type of interest is deductible as an itemized expense for stock investors?
",5,5
"What kind of resources can help me get inside information on stocks and market action?
",1,1
"What are some examples of defensive industries?
",5,5
"What does it indicate when a company's ROE is significantly higher than its ROA?
",4,1
"How is working capital calculated?
",1,3
"What is a 'cup and handle' pattern in charting?
",2,5
"What is a safer way to speculate on a stock falling compared to shorting it?
",1,1
"What is the formula to calculate the current ratio?
",2,1
"What forms do most investors use to report their investment-related activities?
",1,2
"What is the role of the Office of the Comptroller of the Currency in relation to derivatives held by financial institutions?
",1,2
"How do you calculate the debt-to-net-equity ratio?
",1,1
"What happens if you withdraw money from an IRA too early?
",2,2
"What should an investor do with a stock during a bear market if they are not retiring for ten years or more?
",5,4
"What is a good price-to-earnings (P/E) ratio to consider when investing in stocks?
",1,1
"How much can an individual contribute to a 401(k) plan in 2020?
",5,1
"What potential risks could arise if US debt is re-patriated by unfriendly governments?
",1,2
"What advantage does a company with a low political profile have?
",3,3
"What type of companies are at greatest risk during a financial crisis?
",4,1
"How can the Price-to-Book Ratio (PBR) be misleading for certain companies?
",5,2
"What are the five chapters in the ""Part of Tens"" section of a book?
",2,2
"What happens to the proceeds from a put option in a stock correction?
",3,4
"What is the total derivatives exposure of the top 25 US banks?
",5,1
"What is the website for finding filed documents related to stocks?
",5,1
"What are dividends paid out from in companies?
",1,3
"What is the advantage of holding an optionable stock?
",5,5
"What is the type of bond that small investors can buy for as little as $25?
",5,2
"What is the LinkedIn profile URL for Paul MLadjenovic?
",2,5
"What is the effect of an ordinary stock split on the share price?
",5,2
"What is the meaning of DPPs in the context of investing?
",4,3
"What does it mean when the market is growing in the context of investing?
",5,3
"Why might a company decide to do a stock split?
",3,3
"What are three ways to complement stock investing according to the chapter?
",3,1
"What is the purpose of the section when markets are down?
",2,1
"How are debts calculated as a percentage of total assets?
",1,2
"How can a put option be used to generate income from a current stock position?
",3,3
"How is the price-to-book ratio (PBR) calculated?
",1,1
